,BFS_NUMMER,EINWOHNERZ,centroid
188,3551,1130,3.95240129932316 30.440137152123505
189,3701,903,4.00130583151831 30.533122118028377
190,766,809,3.9720084506101836 30.51406476368093
191,3673,1939,3.974532496700413 30.57753221450616
192,9073,-32768,3.9251779599051573 30.562268406877408
193,3298,5505,3.971574788319803 30.562536007682343
194,1098,6812,4.04545011489848 30.54885314812552
195,855,6779,3.983650772728236 30.544018533848337
196,3790,1067,4.078132642471863 31.35023715683352
197,3522,439,3.9632790589280145 30.5077559193258
198,6090,992,3.289596427145266 30.749511994837462
199,3961,1975,3.964850795896033 30.55060698039296
200,3352,5015,4.028535858451151 30.49433844808086
201,5307,51,3.8925468103539007 30.545986200451075
202,1362,11301,3.936928853692793 30.547477364767552
203,3311,1777,3.953174939382172 30.556507307977387
204,3945,3072,3.9667803656672853 30.549709899634376
205,3392,8721,3.9835888301738143 30.55490433508435
206,3506,2694,4.116433701265192 30.513824313521635
207,1081,6234,4.0118007201888215 30.526761117366718
208,1218,848,3.9735284768557464 30.6073577712732
209,2939,35927,4.12358967666643 30.51136280613227
210,3276,5219,4.072808486099181 30.580628121340126
211,783,1162,3.987688060963549 30.578470008488033
212,3274,5194,3.8353565170798976 30.522031608356077
